name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes
Doug Marshall,The Rhino,18,8,0,177.8,92.99,,Orthodox,1975-09-09,6.99,46,4.02,60,0,0,66,2.4
Mark Weir,The Wizard,21,18,1,187.96,83.91,,Southpaw,1967-09-19,1.54,56,2.5,38,0.8,50,25,2.4
Shane del Rosario,,11,2,0,193.04,113.4,,Southpaw,1983-09-23,3.93,60,2.97,54,1.2,40,16,2.4
Juan Espino,El Guapo,11,2,0,190.5,115.67,203.2,Orthodox,1980-10-09,2.38,70,1.95,40,8.93,78,50,2.4
Jason Lambert,The Punisher,26,13,0,190.5,83.91,190.5,Orthodox,1975-06-03,3.21,58,1.84,50,1.35,36,28,2.4
Noad Lahat,Neo,11,2,0,175.26,65.77,175.26,Orthodox,1984-06-08,2.79,46,1.47,63,2.37,26,16,2.4
Paddy Pimblett,The Baddy,20,3,0,177.8,70.31,185.42,Orthodox,1995-01-03,4.19,46,3.48,41,0.97,25,56,2.4
Gabriel Miranda,Fly,17,6,0,180.34,65.77,180.34,Orthodox,1990-03-25,3.52,51,6.88,39,4.8,40,0,2.4
Rob Kimmons,The Rosedale Reaper,25,9,0,177.8,83.91,185.42,Orthodox,1981-01-30,1.86,48,4.79,38,2.08,46,25,2.4
Hermes Franca,,24,17,0,167.64,70.31,180.34,Orthodox,1974-08-26,1.78,39,2.85,55,1.53,36,37,2.4
Cesar Arzamendia,Goku,8,3,0,180.34,70.31,,Orthodox,1991-01-31,5.37,45,5.2,56,7.32,75,0,2.4
Antonio Rodrigo Nogueira,Minotauro,34,10,1,190.5,108.86,195.58,Orthodox,1976-06-02,1.95,42,2.4,55,1.3,29,36,2.4
Chris Lytle,Lights Out,31,18,5,180.34,77.11,172.72,Orthodox,1974-08-18,3.76,45,3.03,58,0.7,55,55,2.4
Ramiz Brahimaj,,10,4,0,177.8,77.11,182.88,Orthodox,1992-11-17,2.47,41,4.08,50,1.9,66,58,2.4
Eugene Jackson,The Wolf,15,9,1,172.72,83.91,,Orthodox,1966-09-23,2.19,33,3.44,32,1.91,71,16,2.3
Joe Doerksen,El Dirte,51,16,0,182.88,83.91,190.5,Orthodox,1977-10-09,1.43,42,2.79,50,2.02,33,33,2.3
Wes Sims,The Project,24,14,1,208.28,117.93,,Orthodox,1979-08-04,0.98,51,2.95,37,0,0,40,2.3
JP Buys,Young Savage,9,6,0,165.1,61.23,170.18,Orthodox,1996-04-30,1.88,39,3.02,40,1.55,25,25,2.3
Brandon Royval,Raw Dawg,15,6,0,175.26,56.7,172.72,Southpaw,1992-08-16,3.45,38,2.63,50,0.66,100,39,2.3
Nate Smith,The Savage,6,1,0,167.64,56.7,175.26,Switch,1995-04-09,1.28,38,2.04,35,0,0,33,2.3
Mats Nilsson,,11,4,1,185.42,77.11,,Orthodox,1983-12-05,2.99,39,5.62,63,3.87,83,44,2.3
Hideo Tokoro,,34,29,2,170.18,61.23,,Orthodox,1977-08-22,1.78,37,2.01,65,0.87,34,44,2.3
Jose Maria,No Chance,37,7,0,165.1,56.7,,Orthodox,1982-01-04,3.2,53,3.98,52,2.32,27,33,2.3
Yoshiki Takahashi,Kazuo,30,27,3,180.34,90.26,,Southpaw,1969-03-13,2.26,51,6.47,44,0,0,66,2.3
Ikram Aliskerov,,15,1,0,182.88,83.91,193.04,Southpaw,1992-12-07,8.24,65,7.15,36,2.33,33,0,2.3
Mike Joy,,11,8,0,167.64,70.31,,Southpaw,1985-07-18,0.57,33,1.71,47,0.78,33,0,2.3
Kimo Leopoldo,,10,7,1,190.5,106.59,,Orthodox,1968-01-05,0.76,83,2.12,30,4.55,100,0,2.3
Chas Skelly,The Scrapper,19,3,0,180.34,65.77,182.88,Orthodox,1985-05-11,2.01,40,3.21,49,1.74,34,39,2.3
Ruan Potts,Fangzz,11,6,0,187.96,112.04,190.5,Orthodox,1978-02-23,0.85,37,5.92,22,0.75,16,33,2.3
Mark Holst,Boots,12,6,0,182.88,70.31,,Orthodox,1985-08-14,0.25,19,1.67,47,0.76,100,60,2.3
Seth Petruzelli,The Silverback,14,8,0,182.88,92.99,193.04,Orthodox,1979-12-03,2.17,41,2.08,55,0.46,50,47,2.3
Christian Morecraft,,8,3,0,198.12,117.93,205.74,Orthodox,1986-09-08,2.82,34,2.46,46,3.26,66,50,2.2
Niklas Backstrom,,11,3,0,185.42,65.77,,Orthodox,1989-08-22,1.12,41,3.65,40,2.92,80,72,2.2
Kaynan Kruschewsky,Bahia,15,2,0,182.88,70.31,185.42,Orthodox,1991-04-04,5.08,39,4.79,47,2.18,100,0,2.2
Drew Fickett,The Master,42,21,0,177.8,70.31,177.8,Orthodox,1979-12-14,2.33,41,2.29,57,1.3,35,30,2.2
Ryan Thomas,The Tank Engine,20,8,0,182.88,77.11,,Orthodox,1984-11-05,2.01,36,4.17,30,5.59,33,0,2.2
Ryan Hall,The Wizard,9,2,0,177.8,65.77,177.8,Southpaw,1985-02-22,2.38,50,1.33,65,0.22,9,0,2.2
Dustin Kimura,The Diamond,11,3,0,170.18,61.23,180.34,Orthodox,1989-05-21,1.33,21,3.82,51,0.93,37,50,2.2
Alex Gilpin,,11,1,0,170.18,65.77,,Orthodox,1992-03-26,6.8,54,12.29,42,2.17,25,0,2.2
Josh Grispi,The Fluke,14,5,0,180.34,65.77,187.96,Orthodox,1988-10-14,1.44,41,3.71,50,1.97,36,16,2.2
Anthony Torres,The Crush,5,3,0,172.72,77.11,,Orthodox,1978-07-31,3.54,48,7.52,45,0,0,100,2.2
Danny Henry,The Hatchet,12,4,0,182.88,65.77,185.42,Orthodox,1988-07-17,5.2,51,4.16,45,0.74,33,50,2.2
Hidehiko Yoshida,,6,8,1,180.34,102.06,,Orthodox,1969-09-03,1.05,36,1.89,62,1.09,33,71,2.2
Joe Stevenson,Daddy,33,16,0,170.18,65.77,177.8,Orthodox,1982-06-15,2.05,44,2.44,60,2.75,44,39,2.2
Everett Cummings,,12,0,0,,92.99,,,,0.43,60,4.34,45,0,0,0,2.2
Jose Landi-Jons,Pele,29,16,0,180.34,77.11,,Orthodox,1973-09-09,0.99,40,0.77,43,2.2,80,40,2.2
Wilson Gouveia,,14,8,0,185.42,83.91,193.04,Orthodox,1978-10-03,3.02,39,4.06,56,0.9,66,57,2.2
Chris Price,The Exorcist,19,4,0,187.96,83.91,,Southpaw,1982-11-09,1.44,66,2.59,48,0,0,33,2.2
Fredson Paixao,,10,5,0,167.64,65.77,167.64,Orthodox,1979-05-13,1.71,54,2.31,62,0.62,11,10,2.2
Jake Hadley,White Kong,10,2,0,170.18,56.7,177.8,Southpaw,1996-08-03,3.42,44,3.2,60,0.32,25,35,2.2
Chase Hooper,The Dream,13,3,1,185.42,70.31,187.96,Southpaw,1999-09-13,4.86,51,3.59,36,1.42,22,55,2.2
Daniel Gracie,,5,4,1,187.96,102.06,,Orthodox,,1.9,38,1.33,59,0.36,100,80,2.1
Masakazu Imanari,,36,16,2,162.56,63.05,,Southpaw,1976-02-10,0.55,30,1.74,57,0,0,0,2.1
Andrew Holbrook,,12,3,0,180.34,70.31,177.8,Southpaw,1986-02-06,2.2,49,3,54,0.85,18,10,2.1
Mike Cook,,13,13,0,185.42,92.99,,Orthodox,,1.72,49,2.4,46,1.03,33,55,2.1
Polyana Viana,Dama de Ferro,13,6,0,165.1,52.16,170.18,Orthodox,1992-06-14,3.19,41,2.63,55,0.93,33,43,2.1
Logan Clark,,18,6,0,187.96,83.91,,Orthodox,1985-02-16,2.2,54,1.49,53,0.31,100,30,2.1
Nate Loughran,,11,2,0,187.96,83.91,,Orthodox,1980-07-28,1.81,40,4.11,59,0,0,0,2.1
Tim McKenzie,,14,9,0,182.88,83.91,187.96,Orthodox,1982-07-21,1.37,54,2.96,44,0,0,28,2.1
Mackens Semerzier,Da Menace,8,4,0,175.26,65.77,182.88,Orthodox,1980-11-03,2.91,45,3.48,46,2.14,50,50,2.1
Dennis Hallman,Superman,53,20,2,175.26,70.31,182.88,Orthodox,1975-12-02,1.12,44,1.96,43,1.79,30,25,2.1
Chris Brennan,The Westside Strangler,21,13,1,172.72,77.11,,Orthodox,1971-10-12,0.6,40,0.97,50,0,0,25,2.1
Josh Sampo,The Gremlin,11,5,0,162.56,56.7,162.56,Orthodox,1984-07-24,1.99,36,2.96,55,1.06,33,40,2.1
Katsuhisa Fujii,Shamoji,9,18,1,182.88,92.99,,Orthodox,1972-08-15,4,50,4.43,64,2.14,25,50,2.1
Brooke Mayo,The Bully,0,1,0,170.18,56.7,,,,1.92,34,3.2,63,3.2,60,0,2.1
Satoru Kitaoka,,40,14,9,167.64,69.85,,,,0.68,33,2.15,45,0.62,10,27,2.1
Daermisi Zhawupasi,,7,1,0,172.72,61.23,172.72,Switch,2000-03-13,1.24,51,2.75,34,6.19,75,64,2.1
Jeremiah Metcalf,,13,7,0,185.42,83.91,,Orthodox,,1.74,59,0.27,60,4.02,66,100,2
Harry Hunsucker,The Hurricane,7,6,0,187.96,92.99,190.5,Orthodox,1989-01-03,3.54,52,6.53,42,0,0,0,2
Charles Bennett,Krazy Horse,30,33,2,172.72,70.31,,Orthodox,1979-11-23,1.39,39,1.35,64,2.02,100,36,2
Kevin Syler,El Nino Bala,10,1,0,175.26,70.31,180.34,Switch,1993-07-29,5.6,69,4.03,48,1,40,77,2
Mike Zichelle,,8,4,0,,92.99,,,,0.87,35,0.87,40,0,0,0,2
Dave Galera,Scarecrow,5,1,0,180.34,61.23,,Orthodox,1978-01-12,1.67,69,0.53,33,0,0,14,2
Kaik Brito,,16,5,0,180.34,77.11,182.88,Orthodox,1997-03-26,2.8,38,3.87,55,0,0,55,2
Josh Thornburg,,8,8,0,182.88,77.11,,,,1.2,50,3.13,38,2,66,42,2
Chad Reiner,The Grinder,33,18,0,180.34,77.11,,Orthodox,1981-06-29,0.53,20,1.97,46,0.99,33,25,2
Jacob Volkmann,Christmas,19,7,0,175.26,70.31,180.34,Southpaw,1980-09-05,1.19,34,1.78,52,3.19,48,52,2
Brock Larson,,42,10,0,180.34,77.11,180.34,Southpaw,1977-08-23,1.39,46,1.5,55,2.67,34,43,2
Christian Lohsen,Hollywood,4,2,0,187.96,70.31,195.58,Southpaw,1995-01-24,5.27,49,6.93,44,0,0,0,2
Brent Primus,,8,0,0,177.8,70.31,,,,1.73,39,2.27,59,5,38,0,2
Nick Serra,The Mad Monkey,7,3,0,175.26,77.11,,Orthodox,1978-03-27,0,0,1.73,43,1,10,0,2
Chris Holdsworth,,6,0,0,180.34,61.23,,,,1.85,29,1.94,58,3.38,62,100,2
David Mitchell,Daudi,22,7,0,182.88,77.11,190.5,Orthodox,1979-10-24,1.74,32,2.06,55,0.66,50,29,2
John Halverson,The Hurricane,16,8,0,175.26,70.31,,Southpaw,1972-09-08,2.94,43,5.29,47,0,0,66,2
Sean Holden,,5,2,0,177.8,77.11,,,,2.4,59,0.6,59,5,83,0,2
Eric Wray,,5,1,0,182.88,77.11,,Orthodox,,1.76,48,3.12,28,4.07,66,0,2
Kevin Haley,The North Woods Nightmare,6,4,0,187.96,92.99,,,,0.87,59,0.87,64,3,100,0,2
Mariusz Ksiazkiewicz,The Iron Pol,8,1,0,190.5,83.91,190.5,Southpaw,1989-10-04,0.93,45,3.4,39,4,100,0,2
Young Sam Jung,,4,8,0,172.72,63.05,,Orthodox,1985-10-27,0.53,9,2.79,63,0,0,0,2
Luis Rodriguez,Lazy Boy,11,2,0,167.64,56.7,165.1,Orthodox,1999-05-07,1.27,37,3.2,54,2,50,100,2
Jarrod Kwitty,,2,2,0,172.72,83.91,,,,0.53,50,4.4,32,8,50,0,2
Jimmy Crute,,12,4,1,187.96,92.99,187.96,Orthodox,1996-03-04,3.68,54,3.04,44,4.84,57,60,2
Joe Lauzon,,28,16,0,177.8,70.31,180.34,Orthodox,1984-05-22,2.84,39,5.39,54,2.39,45,54,2
Tomoya Miyashita,,17,9,7,170.18,63.05,,Southpaw,,1.67,65,0.93,33,4,80,0,2
Jack Cartwright,,10,1,0,175.26,61.23,172.72,Orthodox,1994-05-26,0.8,38,3.33,29,6,66,0,2
Jafel Filho,Pastor,15,3,0,170.18,56.7,172.72,Orthodox,1993-05-05,2,37,2.31,45,1.53,27,55,2
Mark Scanlon,,9,2,0,175.26,77.11,,Orthodox,,2.2,35,3.33,48,3,75,25,2
Eric Esch,Butterbean,15,10,1,180.34,158.76,,Orthodox,1968-08-03,3.07,71,1.74,43,0,0,0,2
Chris Tickle,BadBoy,9,9,0,175.26,70.31,,,,1.07,40,1.13,43,1,25,20,2
Ivana Petrovic,,6,1,0,172.72,56.7,177.8,Southpaw,1994-06-11,1.47,35,2.73,52,2,33,66,2
Kazuki Okubo,,7,9,0,180.34,79.38,,Orthodox,,1.53,38,1.97,46,0.51,25,36,2
Abdul-Kerim Edilov,,17,4,0,187.96,92.99,,Orthodox,1991-11-25,10.22,61,0.13,92,3.98,100,0,2
Eddy Ellis,Fast,21,16,1,175.26,77.11,,Orthodox,,3.4,69,1.53,68,4,66,50,2
Jason MacDonald,The Athlete,25,16,0,190.5,83.91,203.2,Orthodox,1975-06-03,1.55,52,2.7,46,1.43,16,35,2
Micah Miller,Maverick,20,8,0,182.88,65.77,,Orthodox,1987-02-14,1.33,33,2.15,54,0.98,37,21,2
Allan Begosso,Mini,7,2,1,165.1,61.23,167.64,Orthodox,1995-11-23,1.8,40,7.73,34,0,0,25,2
Yuma Horiuchi,Ichiban,9,5,0,167.64,56.7,170.18,Switch,1997-09-22,3.73,30,5,35,2,16,0,2
John Gunderson,Quick Guns,35,16,2,175.26,70.31,175.26,Orthodox,1979-01-05,1.04,27,1.71,58,1.67,33,11,2
Chris Haseman,The Hammer,20,17,0,180.34,92.99,,Orthodox,1969-06-02,0.93,70,4.67,28,0,0,40,2
Josh Smith,,9,8,0,182.88,70.31,,Orthodox,1982-07-02,0.73,28,1.4,54,0,0,57,2
Martin Kampmann,The Hitman,20,7,0,182.88,77.11,182.88,Orthodox,1982-04-17,3.22,42,3.28,62,1.86,41,78,2
Frank Mir,,18,11,0,190.5,119.75,200.66,Southpaw,1979-05-24,2.18,47,3.84,38,2.02,40,54,2
Mitch Gagnon,,12,5,0,165.1,61.23,165.1,Southpaw,1984-10-10,2.76,46,2.21,61,1.16,25,65,1.9
Lucio Linhares,,19,8,0,187.96,83.91,,Orthodox,1973-12-08,0.99,22,3.47,34,1.86,50,50,1.9
Roger Gracie,,8,2,0,193.04,83.91,200.66,Orthodox,1981-09-26,1.78,35,1.79,61,1.87,53,60,1.9
Saidyokub Kakhramonov,,10,3,0,172.72,61.23,175.26,Orthodox,1995-11-14,2.05,51,0.88,58,6.63,48,83,1.9
Mickey Gall,,7,5,0,187.96,77.11,187.96,Switch,1992-01-22,2.94,46,4.25,49,1.21,30,36,1.9
Joe Soto,One Bad Mofo,18,7,0,167.64,61.23,165.1,Orthodox,1987-03-22,3.36,41,5.37,67,0.85,21,70,1.9
Austin Vanderford,AK-47,4,0,0,180.34,77.11,,Orthodox,1990-03-21,3.9,52,5.19,45,0,0,100,1.9
Pat Sabatini,,18,5,0,172.72,65.77,177.8,Orthodox,1990-11-09,2.02,59,1.54,49,3.73,42,50,1.9
Jessamyn Duke,The Gun,3,5,0,180.34,61.23,185.42,Orthodox,1986-06-24,4.83,53,4.43,57,1.27,36,50,1.9
Ryan Jensen,,21,8,0,185.42,83.91,193.04,Orthodox,1977-09-20,2.84,39,2.99,59,1.55,50,31,1.9
Roman Mitichyan,,8,3,0,177.8,77.11,,Orthodox,1978-09-04,0.26,16,2.7,43,1.93,100,25,1.9
Georgi Karakhanyan,Insane,26,7,1,172.72,65.77,,,,4.49,39,5,54,1.41,50,33,1.9
Brad Mitchell,,4,2,0,180.34,65.77,,,,1.15,33,4.2,52,0,0,100,1.9
Ikuhisa Minowa,Minowaman,60,42,8,175.26,82.1,,Orthodox,1976-01-12,0.88,40,1.66,49,1.82,41,5,1.9
Joachim Hansen,Hellboy,23,14,1,170.18,68.04,,Southpaw,1979-05-26,2.01,43,2.04,58,2.21,58,34,1.9
Jordan Griffin,Native Psycho,18,9,0,177.8,65.77,185.42,Southpaw,1990-02-28,2.52,46,3.02,50,1.45,35,42,1.9
Jon Delos Reyes,The Heat,8,5,0,167.64,56.7,170.18,Orthodox,1987-08-19,2.99,38,4.14,51,3.2,83,55,1.9
Luke Stewart,,6,3,0,180.34,77.11,,Orthodox,,3.75,56,2.34,53,3.75,33,50,1.9
Vagner Rocha,Ceara,14,4,0,177.8,70.31,185.42,Orthodox,1982-06-06,2.64,42,4.5,48,1.4,33,50,1.9
Kyle Daukaus,,11,4,0,190.5,83.91,193.04,Southpaw,1993-02-27,3.22,52,2.94,42,2.12,25,82,1.9
Fedor Emelianenko,The Last Emperor,36,5,0,182.88,104.33,187.96,Orthodox,1976-09-28,3.18,51,1,63,2,63,82,1.9
Stephen Banaszak,,5,5,0,182.88,65.77,,,,4.2,47,1.15,66,0,0,100,1.9
Rani Yahya,,28,11,1,167.64,61.23,170.18,Orthodox,1984-09-12,1.59,37,1.77,50,2.86,32,24,1.9
Erick Wanderlei,,3,3,0,185.42,92.99,,Orthodox,,0.63,41,2.66,40,3.8,66,0,1.9
Shane Roller,,11,7,0,177.8,70.31,182.88,Orthodox,1979-07-14,2.04,34,2.65,60,2.46,33,42,1.9
Aleksei Oleinik,The Boa Constrictor,60,17,1,187.96,108.86,203.2,Orthodox,1977-06-20,3.29,48,3.8,44,1.82,46,37,1.9
Ryan Quinn,,13,7,1,172.72,65.77,,,,2.31,41,1.67,48,0,0,0,1.9
Keisuke Sasu,Sasuke,11,3,1,165.1,65.77,175.26,Switch,1994-09-30,2.76,49,2.42,48,3.76,40,61,1.9
Don Shainis,Shameless,12,5,0,167.64,65.77,170.18,Orthodox,1990-09-16,3.42,50,5.87,31,0.97,25,20,1.9
Dan Argueta,The Determined,9,2,0,170.18,61.23,172.72,Southpaw,1993-08-13,2.35,47,1.9,52,2.54,50,60,1.9
Jeremy  Freitag,,6,10,0,185.42,92.99,,,,0,0,8.37,19,0,0,33,1.9
Raul Rosas Jr.,El Nino Problema,8,1,0,175.26,61.23,170.18,Switch,2004-10-08,1.28,44,1.52,46,3.57,33,0,1.8
Rodolfo Marques Diniz,,23,9,1,167.64,61.23,,,,1.08,32,2.36,33,0,0,50,1.8
Miguel Baeza,Caramel Thunder,10,3,0,187.96,77.11,187.96,Orthodox,1992-08-23,4.88,49,5.1,53,0.44,28,100,1.8
Joe Proctor,,11,5,0,177.8,70.31,182.88,Orthodox,1985-08-10,3.39,36,3.93,59,0,0,70,1.8
Luc Bondole,,5,2,2,187.96,92.99,,,,3.35,51,2.04,62,0,0,0,1.8
Amanda Cooper,ABC,3,5,0,160.02,52.16,162.56,Switch,1991-10-22,3.55,44,3.2,51,1.53,38,28,1.8
Juliana Miller,Killer,4,3,0,170.18,56.7,167.64,Orthodox,1996-05-07,3.31,45,4.75,32,1.84,44,0,1.8
Louis Smolka,Da Last Samurai,17,9,0,175.26,61.23,172.72,Orthodox,1991-07-16,4.67,47,4.11,53,1.69,35,32,1.8
Assuerio Silva,,16,8,0,177.8,109.32,,Orthodox,1974-06-18,1.42,46,4.2,54,2.66,34,25,1.8
Johnny Munoz,Kid Kvenbo,12,4,0,175.26,61.23,180.34,Orthodox,1993-02-16,2.44,36,2.66,55,2.4,25,45,1.8
Jake Rosholt,,12,5,0,185.42,83.91,,Orthodox,1982-02-09,2.68,53,2.33,49,6.51,68,0,1.8
Sanae Kikuta,,31,9,3,175.26,90.72,,Orthodox,1971-09-10,0.7,45,0.9,52,1.6,63,25,1.8
Eric Schafer,Red,14,8,2,190.5,83.91,193.04,Orthodox,1977-09-20,1.89,34,3.38,56,1.81,36,50,1.8
Dan Miller,,14,8,0,185.42,83.91,187.96,Orthodox,1981-06-30,2.03,36,3.06,49,1.67,54,47,1.8
Jim Miller,A-10,36,17,0,172.72,70.31,180.34,Southpaw,1983-08-30,2.86,41,3.08,58,1.56,43,48,1.8
Jesus Aguilar,,9,2,0,162.56,56.7,157.48,Orthodox,1996-03-13,1.69,49,1.03,63,2.72,37,0,1.8
Alex Serdyukov,The Russian Crusher,8,5,0,187.96,77.11,187.96,Orthodox,1980-05-24,4.94,48,3.1,46,1.84,55,67,1.8
Brian Foster,The Foster Boy,27,10,0,175.26,77.11,180.34,Orthodox,1984-04-03,3.3,39,1.63,65,3.67,60,37,1.8
Lee Murray,Lightning,8,2,1,190.5,83.91,,Orthodox,1977-09-12,0.36,15,3.28,32,0.9,100,42,1.8
Blas Avena,The Disciple,8,7,0,182.88,77.11,187.96,Orthodox,1983-06-30,2.34,47,3.36,43,2.37,80,50,1.8
Joe Pyfer,Bodybagz,12,2,0,187.96,83.91,190.5,Orthodox,1996-09-17,3.64,45,2.34,55,2.97,83,50,1.8
Sam Spengler,The Ram,9,5,0,180.34,83.91,,Orthodox,,3.27,62,3.27,54,1.75,11,75,1.8
Cole Miller,Magrinho,21,11,0,185.42,65.77,185.42,Orthodox,1984-04-26,3,33,3.88,59,0.6,36,38,1.8
Casey Olson,The Underdog,14,5,0,170.18,65.77,,Orthodox,,2.48,60,0,100,3.54,57,100,1.8
Daniel Pineda,The Pit,28,15,0,170.18,65.77,175.26,Orthodox,1985-08-06,3.09,49,3.18,46,1.71,25,48,1.7
Kendall Grove,Da Spyder,23,17,0,198.12,83.91,200.66,Orthodox,1982-11-12,2.31,41,2.4,54,0.49,45,56,1.7
Danillo Villefort,Indio,15,5,0,185.42,83.91,,Orthodox,1983-05-08,2.86,37,2.4,68,1.71,66,33,1.7
Karlos Vemola,,17,5,0,182.88,83.91,190.5,Orthodox,1985-07-03,1.67,44,2.13,37,1.93,25,31,1.7
Jose Palacios,,3,2,0,175.26,65.77,,Orthodox,,2.67,70,1,79,0,0,50,1.7
Cristina Stanciu,Barbie,5,2,0,160.02,52.16,,Orthodox,1994-03-29,2.5,50,3.07,52,0.85,100,40,1.7
Tom Aspinall,,14,3,0,195.58,116.12,198.12,Orthodox,1993-04-11,7.72,66,2.77,66,3.46,100,100,1.7
Dean Hancock,The Hammer,2,1,0,,70.31,,,,7.97,63,1.94,67,1.71,33,75,1.7
Nassourdine Imavov,,12,4,0,190.5,83.91,190.5,Orthodox,1995-03-01,4.55,53,3.76,58,1.09,31,72,1.7
Roman Dolidze,,12,2,0,187.96,83.91,193.04,Orthodox,1988-07-15,3.02,44,3.01,55,1.72,50,33,1.7
Brendan Allen,All In,23,5,0,187.96,83.91,190.5,Orthodox,1995-12-28,3.87,54,3.6,46,1.36,47,58,1.7
Steve Berger,The Red Nosed Pitbull,21,23,2,180.34,77.11,,Orthodox,1973-05-20,1,27,3.26,36,0.84,40,16,1.7
David Zawada,Sagat,17,7,0,182.88,77.11,190.5,Orthodox,1990-08-01,3.84,41,4.54,55,0.97,33,57,1.7
Kin Moy,Kong,8,3,0,165.1,61.23,,,,2.3,33,1.93,62,1.67,42,50,1.7
Erisson Ferreira,Gato,12,2,0,167.64,56.7,177.8,Orthodox,1991-05-03,1.75,32,2.75,56,1.11,100,66,1.7
Billy Giovanella,Wolverine,9,5,0,172.72,56.7,,,,1.27,40,2.02,52,0.87,12,100,1.7
Charlene Gellner,Princess,0,4,0,157.48,56.7,,,,2.01,42,3.24,43,0,0,0,1.7
Stefan Struve,Skyscraper,33,13,0,210.82,120.2,213.36,Orthodox,1988-02-18,3.12,47,4.04,46,0.56,46,55,1.7
Donny Walker,Eagle Eye,15,10,0,175.26,61.23,,,,1.81,37,3.85,46,0,0,57,1.7
Jason Knight,The Kid,20,5,0,177.8,65.77,180.34,Orthodox,1992-07-14,2.95,33,3.02,51,1.31,31,47,1.7
Cole Smith,The Cole Train,7,2,0,180.34,61.23,170.18,Orthodox,1989-04-05,1.78,35,1.96,49,1.67,33,45,1.7
Misha Cirkunov,,15,9,0,190.5,92.99,195.58,Orthodox,1987-02-27,3.86,51,3.06,57,4.15,39,76,1.7
Ralek Gracie,,3,1,0,187.96,95.25,,Orthodox,1985-10-04,1.61,46,1.05,55,2.5,75,0,1.7
Kazushi Sakuraba,The Gracie Hunter,26,17,1,182.88,83.91,,Southpaw,1969-07-14,1.26,41,2.03,51,1.26,31,48,1.7
Dustin Neace,The Beast,25,21,1,175.26,65.77,,,,2.08,32,2.66,56,0,0,0,1.7
Claude Patrick,The Prince,14,2,0,180.34,77.11,190.5,Orthodox,1980-06-14,1.8,55,0.89,69,2.32,53,84,1.7
Simeon Thoresen,The Grin,17,6,1,185.42,77.11,200.66,Orthodox,1984-03-14,3.85,43,3.85,64,1.12,40,50,1.7
Cody Donovan,Donnybrook,8,5,0,190.5,92.99,187.96,Orthodox,1981-02-20,5.61,59,5.44,45,1.67,28,0,1.7
Carlo Prater,Neo,31,18,1,180.34,70.31,182.88,Switch,1981-06-25,2.03,47,4.07,35,0.43,9,57,1.7
Damon Jackson,The Leech,22,6,1,180.34,65.77,180.34,Switch,1988-08-08,3.02,40,3.46,50,2.44,34,40,1.6
Gina Carano,Conviction,7,1,0,172.72,65.77,,Orthodox,1982-04-16,4.5,47,2.66,64,1.24,66,85,1.6
Bobby Nash,,8,4,0,182.88,77.11,187.96,Orthodox,1990-03-26,3.42,37,3.95,51,2.37,33,100,1.6
Paulo Filho,,23,6,3,172.72,83.91,,Southpaw,1978-05-24,1.86,48,1.67,66,2.4,32,42,1.6
Roland Delorme,,9,5,0,175.26,61.23,180.34,Orthodox,1983-12-18,2.28,44,4.32,40,2.51,34,42,1.6
Myktybek Orolbai,,12,1,1,177.8,77.11,187.96,Orthodox,1998-02-10,0.87,40,1.52,48,11.41,70,0,1.6
Daniel Barez,,16,6,0,167.64,56.7,167.64,Orthodox,1988-12-10,3.8,53,5.32,55,4.07,31,91,1.6
Mateusz Rebecki,,18,1,0,170.18,70.31,167.64,Southpaw,1992-11-03,5.31,53,2.01,63,4.16,72,66,1.6
Miguel Torres,,44,9,0,175.26,61.23,193.04,Orthodox,1981-01-18,3.98,43,1.86,74,0,0,17,1.6
George Sotiropoulos,,14,7,0,177.8,70.31,180.34,Orthodox,1977-07-09,2.61,27,2.52,67,2.32,31,53,1.6
Deiveson Figueiredo,Deus da Guerra,22,3,1,165.1,61.23,172.72,Orthodox,1987-12-18,3.08,55,3.46,51,1.65,44,58,1.6
Dan Bobish,,17,9,0,187.96,156.49,,Southpaw,1970-01-26,2.06,44,1.74,34,2.44,42,0,1.6
Chris Wilson,The Professor,18,10,0,185.42,77.11,190.5,Orthodox,1977-06-07,2.32,50,1.36,55,1.31,50,60,1.6
Jess Liaudin,The Joker,20,11,0,175.26,77.11,182.88,Orthodox,,2.46,51,2.76,41,3.28,53,30,1.6
Kestutis Smirnovas,,24,8,2,177.8,90.72,,Orthodox,,4.95,52,5.05,54,1.55,50,100,1.6
Marcio Cruz,Pe de Pano,8,3,0,193.04,105.23,,Orthodox,1978-04-24,2.92,46,1.51,68,0.53,7,37,1.6
Paul Craig,Bearjew,17,7,1,190.5,83.91,193.04,Orthodox,1987-11-27,2.42,46,2.86,45,1.76,22,37,1.6
Neil Seery,2Tap,16,13,0,162.56,56.7,162.56,Orthodox,1979-08-30,3.56,41,3.79,58,0.78,27,53,1.6
Ryuta Sakurai,,24,24,6,170.18,83.01,,Orthodox,,1.8,48,3.44,58,0.52,100,36,1.6
Shane Nelson,Sugar,16,7,0,175.26,70.31,177.8,Southpaw,1984-11-29,1.38,31,2.84,61,1.31,18,54,1.6
